Components,Quantity,Link
IR Sensor,2,https://robu.in/product/ir-infrared-obstacle-avoidance-sensor-module/
"Chassis Kit(with Wheels, Clamps, Speed Encoder, Battery Box, Switch,Motor)",1,https://www.amazon.in/PrimeRobotics-Chassis-Wheels-Encoder-Battery/dp/B07JK32F2W/ref=sr_1_7?dib=eyJ2IjoiMSJ9.pWVvbfY3QFsv-_6jmCDaP7vfpz6W1p1Cokh-K7H4YmtQDQ_vxFT4Sq6OLtAcAKCb8EfKlmi6LzUze7afZF5B2Ow3vWBR2_vMc8lqHjjh8OdyB6rO6q0CQgC0rJeqrYN6XFbtLNGa5KqkzTgTIAgjgXuDyQ4-F7rmKknP_BIprxrVZJEgfiU7OXP-yrbijPNWtxSVWivM4gGCclAWREPh0I5WKhPtAFaesnVKx3kWODqC2NKHSJSerOFbhd6h8Ck6hOr3IvpCiv656zzB4zDB5MezR3ry0HAQkjPpH5-AeZk.Zz8W3rDEdSpi8jUuC3wXfsIE8ZUE8KxEA6NnzattVoQ&dib_tag=se&keywords=line+following+robot&qid=1780656651&sr=8-7
L298N Motor Driver,1,https://robu.in/product/l298-based-motor-driver-module-2a/
18650 Li Ion Battery 2000 mah,2,https://quartzcomponents.com/products/18650-li-ion-2000mah-rechargeable-battery
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
